date,day_of_week,month,season,hotel_id,room_type,base_price,occupancy_rate,rooms_available,bookings_last_7_days,bookings_last_14_days,bookings_last_30_days,cancellation_rate,average_booking_lead_time,temperature,rainfall,weather_condition,is_weekend,is_holiday,festival_importance,local_event,event_importance,competitor_price,historical_demand
2026-05-14,Thursday,5,Summer,1,Deluxe,3500.0,47.2,12,11,24,39,3.6,16,39.8,0.0,Normal,False,False,None,None,None,3560.0,43.1
2026-06-28,Sunday,6,Summer,1,Deluxe,3500.0,49.5,12,10,18,45,12.5,5,43.8,0.0,Normal,True,False,None,None,None,3560.0,56.8
2025-09-10,Wednesday,9,Summer,1,Standard,2500.0,38.8,14,9,20,34,5.9,10,29.3,0.4,Sunny,False,False,None,None,None,2290.0,35.3
2025-11-04,Tuesday,11,Peak Winter,1,Suite,8000.0,76.6,5,11,26,48,14.0,39,23.3,0.0,Excellent,False,False,None,None,None,10020.0,54.8
2025-03-17,Monday,3,Shoulder,1,Deluxe,3500.0,71.0,6,11,26,47,10.7,12,31.5,1.3,Sunny,False,False,None,None,None,4060.0,52.6
2026-06-26,Friday,6,Summer,1,Standard,2500.0,45.1,13,8,14,28,11.2,28,43.6,0.0,Extreme,True,False,None,None,None,2380.0,50.7
2025-10-16,Thursday,10,Shoulder,1,Deluxe,3500.0,67.9,7,10,18,45,7.7,10,29.5,1.7,Sunny,False,False,None,None,None,3800.0,49.1
2025-01-04,Saturday,1,Peak Winter,1,Premium,5000.0,84.0,3,17,37,71,3.1,19,20.4,0.0,Good,True,False,None,None,None,5670.0,86.0
2025-06-02,Monday,6,Summer,1,Standard,2500.0,43.2,13,5,12,18,10.5,11,41.5,0.0,Extreme,False,False,None,None,None,2570.0,28.3
2025-12-29,Monday,12,Peak Winter,1,Suite,8000.0,79.7,4,13,25,49,12.7,38,21.5,0.0,Sunny,False,True,None,New Year Gala Eve,Peak,8820.0,60.5
2025-12-07,Sunday,12,Peak Winter,1,Suite,8000.0,90.9,2,14,32,54,5.2,4,22.6,0.0,Sunny,True,False,None,None,None,10490.0,82.2
2025-12-25,Thursday,12,Peak Winter,1,Premium,5000.0,98.0,1,17,32,67,6.9,13,16.2,0.0,Good,False,False,Major,None,None,6380.0,96.6
2025-12-06,Saturday,12,Peak Winter,1,Standard,2500.0,77.8,5,16,35,64,11.0,3,22.8,0.0,Good,True,False,None,None,None,2860.0,81.3
2026-06-08,Monday,6,Summer,1,Standard,2500.0,36.4,15,4,11,11,8.7,9,43.4,0.0,Extreme,False,False,None,None,None,2550.0,23.4
2025-07-21,Monday,7,Monsoon,1,Premium,5000.0,39.7,14,7,15,33,7.5,22,31.3,13.8,Heavy Rain,False,False,None,None,None,4830.0,31.3
2025-10-30,Thursday,10,Shoulder,1,Deluxe,3500.0,72.1,6,11,23,45,9.0,20,31.5,2.1,Good,False,False,None,None,None,3710.0,53.1
2025-10-21,Tuesday,10,Shoulder,1,Deluxe,3500.0,63.1,8,13,30,58,4.9,20,28.9,3.9,Normal,False,False,None,None,None,3600.0,53.8
2026-06-12,Friday,6,Summer,1,Premium,5000.0,59.1,9,9,18,33,3.3,16,42.9,0.0,Normal,True,False,None,None,None,5190.0,58.5
2026-05-02,Saturday,5,Summer,1,Standard,2500.0,56.5,10,9,17,41,10.6,11,40.5,0.0,Extreme,True,False,None,None,None,2840.0,57.4
2025-04-20,Sunday,4,Summer,1,Suite,8000.0,59.4,9,9,16,38,4.5,3,31.7,0.9,Good,True,False,None,None,None,8610.0,58.6
2026-06-28,Sunday,6,Summer,1,Premium,5000.0,47.5,12,7,18,30,5.9,12,41.7,0.0,Extreme,True,False,None,None,None,4900.0,49.4
2025-10-11,Saturday,10,Shoulder,1,Suite,8000.0,77.8,5,13,28,55,3.9,6,27.5,1.2,Sunny,True,False,Medium,None,None,8920.0,94.7
2026-01-28,Wednesday,1,Peak Winter,1,Deluxe,3500.0,74.9,6,11,22,45,7.3,14,16.1,0.0,Sunny,False,True,None,None,None,4220.0,54.2
2025-01-21,Tuesday,1,Peak Winter,1,Suite,8000.0,79.8,4,15,33,63,11.2,12,14.1,0.0,Excellent,False,False,None,None,None,9540.0,64.9
2025-08-14,Thursday,8,Monsoon,1,Suite,8000.0,38.8,14,7,13,32,8.9,22,30.4,25.0,Rain,False,True,None,None,None,8380.0,30.9
2025-01-28,Tuesday,1,Peak Winter,1,Standard,2500.0,71.8,6,11,19,43,7.2,31,18.3,0.0,Sunny,False,True,None,None,None,2740.0,52.9
2025-12-01,Monday,12,Peak Winter,1,Premium,5000.0,82.0,4,15,27,66,8.9,28,16.8,0.0,Excellent,False,False,None,None,None,6400.0,65.8
2025-12-25,Thursday,12,Peak Winter,1,Deluxe,3500.0,98.0,1,15,30,58,12.2,7,14.7,0.0,Sunny,False,False,Major,None,None,4530.0,92.2
2025-09-02,Tuesday,9,Summer,1,Deluxe,3500.0,43.2,13,6,10,21,13.6,24,28.5,3.3,Normal,False,False,None,None,None,3270.0,30.5
2025-01-27,Monday,1,Peak Winter,1,Premium,5000.0,84.1,3,16,32,60,9.5,45,20.8,0.0,Sunny,False,True,None,None,None,6310.0,68.8
2025-09-06,Saturday,9,Summer,1,Standard,2500.0,62.5,8,11,25,49,7.1,21,30.8,3.9,Sunny,True,False,None,None,None,2750.0,64.2
2025-12-16,Tuesday,12,Peak Winter,1,Standard,2500.0,85.9,3,15,34,66,4.7,8,22.2,0.0,Excellent,False,False,None,None,None,2900.0,67.4
2026-06-19,Friday,6,Summer,1,Premium,5000.0,52.8,11,7,15,30,5.7,6,40.8,0.0,Extreme,True,False,None,None,None,5220.0,51.5
2026-01-24,Saturday,1,Peak Winter,1,Premium,5000.0,86.3,3,15,31,60,6.1,11,18.9,0.0,Good,True,True,None,None,None,6170.0,82.5
2025-10-10,Friday,10,Shoulder,1,Standard,2500.0,71.3,6,15,34,62,11.7,17,24.7,4.7,Sunny,True,False,Medium,None,None,2680.0,96.5
2025-08-15,Friday,8,Monsoon,1,Suite,8000.0,63.1,8,13,28,53,14.0,8,29.2,2.0,Normal,True,True,None,None,None,8870.0,68.9
2025-12-27,Saturday,12,Peak Winter,1,Suite,8000.0,98.0,1,20,39,78,5.4,39,17.1,0.0,Excellent,True,False,Major,None,None,10180.0,100.0
2026-06-22,Monday,6,Summer,1,Premium,5000.0,48.0,12,8,15,31,3.2,11,43.0,0.0,Normal,False,False,None,None,None,5160.0,36.8
2025-10-08,Wednesday,10,Shoulder,1,Standard,2500.0,70.7,7,10,21,42,8.3,15,29.6,2.8,Good,False,False,None,None,None,2780.0,50.3
2025-02-22,Saturday,2,Shoulder,1,Premium,5000.0,82.2,4,17,31,65,4.6,13,24.5,0.6,Normal,True,False,None,None,None,6030.0,85.3
2025-11-08,Saturday,11,Peak Winter,1,Standard,2500.0,85.8,3,17,37,70,13.0,6,15.2,0.0,Good,True,False,None,None,None,2950.0,86.7
2026-03-16,Monday,3,Shoulder,1,Premium,5000.0,60.6,9,9,18,35,10.3,23,28.9,3.1,Sunny,False,False,None,None,None,5150.0,44.0
2025-06-27,Friday,6,Summer,1,Standard,2500.0,50.4,11,12,25,54,12.5,6,38.0,0.0,Normal,True,False,None,None,None,2410.0,61.6
2025-08-28,Thursday,8,Monsoon,1,Premium,5000.0,48.2,12,7,17,24,9.0,26,30.9,2.0,Normal,False,False,None,None,None,5250.0,34.7
2025-09-30,Tuesday,9,Summer,1,Deluxe,3500.0,35.8,15,7,12,30,10.6,37,30.3,0.3,Good,False,False,None,None,None,3490.0,29.7
2025-10-06,Monday,10,Shoulder,1,Suite,8000.0,60.8,9,10,21,35,4.0,13,24.3,0.4,Normal,False,False,None,None,None,9340.0,46.3
2025-01-22,Wednesday,1,Peak Winter,1,Premium,5000.0,78.2,5,14,27,60,7.8,19,14.4,0.0,Sunny,False,False,None,None,None,6150.0,62.1
2025-04-04,Friday,4,Summer,1,Suite,8000.0,46.2,12,9,22,35,10.3,5,26.6,2.0,Normal,True,False,None,None,None,7990.0,53.3
2025-02-07,Friday,2,Shoulder,1,Suite,8000.0,75.8,5,16,36,65,3.6,56,26.6,1.6,Good,True,False,None,None,None,9340.0,80.5
2026-05-26,Tuesday,5,Summer,1,Suite,8000.0,44.7,13,8,20,38,8.3,16,39.2,0.0,Normal,False,False,None,None,None,7430.0,35.5
2025-09-03,Wednesday,9,Summer,1,Deluxe,3500.0,52.4,11,10,18,45,12.2,36,28.4,2.8,Normal,False,False,None,None,None,3660.0,43.0
2025-10-26,Sunday,10,Shoulder,1,Premium,5000.0,98.0,1,19,37,72,6.0,8,31.8,4.2,Normal,True,False,Major,None,None,6620.0,100.0
2026-03-01,Sunday,3,Shoulder,1,Premium,5000.0,80.8,4,13,30,55,8.3,15,24.0,1.3,Sunny,True,False,None,None,None,5800.0,75.9
2026-01-22,Thursday,1,Peak Winter,1,Suite,8000.0,73.5,6,12,27,46,12.4,54,22.7,0.0,Excellent,False,False,None,None,None,9100.0,55.8
2025-11-22,Saturday,11,Peak Winter,1,Suite,8000.0,95.7,1,16,36,59,4.4,15,23.1,0.0,Sunny,True,False,None,None,None,10740.0,88.5
2025-12-06,Saturday,12,Peak Winter,1,Standard,2500.0,91.9,1,15,33,65,13.7,3,15.0,0.0,Excellent,True,False,None,None,None,2930.0,84.7
2025-09-29,Monday,9,Summer,1,Premium,5000.0,46.7,12,9,20,41,10.9,30,29.2,3.5,Sunny,False,False,None,None,None,5310.0,38.5
2025-02-06,Thursday,2,Shoulder,1,Standard,2500.0,58.7,9,13,24,53,13.8,78,31.4,3.2,Good,False,False,None,None,None,2810.0,52.1
2025-04-13,Sunday,4,Summer,1,Suite,8000.0,67.2,7,14,31,60,10.5,4,31.2,3.5,Good,True,False,None,IPL Cricket Match (Sawai Mansingh Stadium),Very High,8530.0,72.7
2025-06-29,Sunday,6,Summer,1,Standard,2500.0,55.4,10,8,16,34,10.0,32,41.7,0.0,Extreme,True,False,None,None,None,2640.0,54.8
2025-01-10,Friday,1,Peak Winter,1,Suite,8000.0,83.7,3,18,39,78,5.8,13,20.8,0.0,Excellent,True,False,None,None,None,10100.0,88.1
2025-07-23,Wednesday,7,Monsoon,1,Suite,8000.0,43.8,13,10,21,35,13.8,11,29.9,15.9,Heavy Rain,False,False,None,None,None,8250.0,39.5
2025-10-09,Thursday,10,Shoulder,1,Standard,2500.0,73.7,6,13,26,56,11.8,23,30.2,4.3,Sunny,False,False,None,None,None,2760.0,58.1
2025-07-14,Monday,7,Monsoon,1,Premium,5000.0,48.5,12,11,21,49,4.1,24,31.8,2.0,Normal,False,False,None,None,None,5250.0,43.6
2025-02-10,Monday,2,Shoulder,1,Premium,5000.0,70.9,6,13,25,50,4.5,11,26.9,0.2,Normal,False,False,None,None,None,5730.0,57.0
2026-01-10,Saturday,1,Peak Winter,1,Premium,5000.0,98.0,1,17,36,64,8.2,10,16.6,0.0,Good,True,False,None,None,None,6010.0,91.6
2025-08-20,Wednesday,8,Monsoon,1,Suite,8000.0,50.2,11,10,22,45,11.2,16,29.8,2.0,Normal,False,False,None,None,None,7960.0,42.1
2026-01-26,Monday,1,Peak Winter,1,Premium,5000.0,77.4,5,15,32,64,5.4,14,20.7,0.0,Good,False,True,None,None,None,5490.0,63.9
2026-04-21,Tuesday,4,Summer,1,Premium,5000.0,45.2,13,6,12,27,4.5,15,25.1,2.0,Sunny,False,False,None,None,None,5020.0,31.3
2026-03-06,Friday,3,Shoulder,1,Deluxe,3500.0,76.2,5,13,23,58,7.1,36,30.7,3.3,Normal,True,False,Low,None,None,4050.0,94.1
2025-08-30,Saturday,8,Monsoon,1,Premium,5000.0,57.8,10,11,20,49,5.3,44,29.8,64.0,Rain,True,False,None,None,None,5490.0,62.3
2025-01-22,Wednesday,1,Peak Winter,1,Standard,2500.0,79.2,4,16,32,60,12.1,8,16.4,0.0,Excellent,False,False,None,None,None,2980.0,66.9
2025-08-10,Sunday,8,Monsoon,1,Deluxe,3500.0,67.0,7,11,20,49,12.5,12,31.9,52.6,Heavy Rain,True,False,None,None,None,3700.0,66.0
2026-01-02,Friday,1,Peak Winter,1,Deluxe,3500.0,86.0,3,18,39,75,4.3,3,17.2,0.0,Sunny,True,False,None,None,None,3990.0,89.0
2026-04-05,Sunday,4,Summer,1,Premium,5000.0,46.7,12,11,23,46,10.1,31,27.6,3.0,Sunny,True,False,None,None,None,4690.0,57.9
2026-05-06,Wednesday,5,Summer,1,Suite,8000.0,37.7,14,7,12,24,6.5,15,42.1,0.0,Extreme,False,False,None,None,None,7310.0,30.5
2025-05-10,Saturday,5,Summer,1,Premium,5000.0,52.9,11,12,22,53,10.2,9,40.3,0.0,Extreme,True,False,None,None,None,5480.0,62.5
2025-08-09,Saturday,8,Monsoon,1,Suite,8000.0,60.6,9,10,23,40,10.3,18,30.1,58.8,Heavy Rain,True,False,None,None,None,8530.0,61.2
2025-06-06,Friday,6,Summer,1,Suite,8000.0,44.6,13,7,11,32,13.5,8,38.5,0.0,Normal,True,False,None,None,None,8150.0,48.2
2025-05-06,Tuesday,5,Summer,1,Suite,8000.0,44.7,13,9,15,35,9.6,40,43.2,0.0,Extreme,False,False,None,None,None,7870.0,37.7
2026-06-04,Thursday,6,Summer,1,Deluxe,3500.0,42.3,13,7,12,27,9.3,29,41.9,0.0,Normal,False,False,None,None,None,3670.0,32.3
2025-01-27,Monday,1,Peak Winter,1,Premium,5000.0,79.9,4,14,30,56,3.1,21,15.8,0.0,Good,False,True,None,None,None,6240.0,62.8
2026-02-15,Sunday,2,Shoulder,1,Standard,2500.0,69.8,7,11,24,43,10.9,10,31.8,3.7,Good,True,False,None,None,None,2950.0,67.1
2025-03-28,Friday,3,Shoulder,1,Standard,2500.0,77.0,5,16,35,66,9.7,6,28.9,0.8,Good,True,False,None,None,None,2890.0,81.0
2025-08-09,Saturday,8,Monsoon,1,Standard,2500.0,53.7,11,11,19,39,5.2,9,29.4,33.6,Heavy Rain,True,False,None,None,None,2820.0,60.7
2025-05-21,Wednesday,5,Summer,1,Premium,5000.0,40.9,14,10,23,37,4.4,7,40.0,0.0,Extreme,False,False,None,None,None,4980.0,38.4
2025-08-24,Sunday,8,Monsoon,1,Premium,5000.0,55.9,10,11,25,43,4.3,9,31.7,31.8,Rain,True,False,None,None,None,4920.0,61.6
2025-11-29,Saturday,11,Peak Winter,1,Deluxe,3500.0,92.5,1,17,32,66,7.8,8,18.6,0.0,Sunny,True,False,None,None,None,4310.0,89.4
2025-03-22,Saturday,3,Shoulder,1,Suite,8000.0,83.5,3,14,30,56,11.0,12,25.8,3.7,Normal,True,False,None,None,None,10050.0,79.2
2025-06-01,Sunday,6,Summer,1,Deluxe,3500.0,54.0,11,12,22,45,13.5,14,38.9,0.0,Normal,True,False,None,None,None,3770.0,63.0
2026-04-21,Tuesday,4,Summer,1,Suite,8000.0,38.3,14,9,20,33,7.8,30,28.5,4.6,Sunny,False,False,None,None,None,7770.0,35.1
2025-11-07,Friday,11,Peak Winter,1,Premium,5000.0,85.3,3,16,29,59,7.1,7,14.6,0.0,Sunny,True,False,None,None,None,5880.0,84.3
2025-04-03,Thursday,4,Summer,1,Suite,8000.0,41.9,13,9,18,36,9.7,35,31.6,2.9,Normal,False,False,None,None,None,7960.0,36.6
2025-03-05,Wednesday,3,Shoulder,1,Suite,8000.0,63.8,8,9,17,31,5.7,55,30.7,4.1,Good,False,False,None,None,None,8750.0,45.3
2026-03-26,Thursday,3,Shoulder,1,Deluxe,3500.0,81.2,4,17,36,64,6.6,25,26.3,1.9,Normal,False,False,Major,None,None,4200.0,89.9
2026-01-31,Saturday,1,Peak Winter,1,Premium,5000.0,95.2,1,16,34,60,9.4,31,21.2,0.0,Excellent,True,False,None,None,None,6000.0,88.3
2025-12-25,Thursday,12,Peak Winter,1,Premium,5000.0,89.1,2,17,36,65,10.4,11,21.0,0.0,Sunny,False,False,Major,None,None,6430.0,93.0
2026-06-24,Wednesday,6,Summer,1,Standard,2500.0,36.7,15,6,11,22,6.8,7,41.1,0.0,Extreme,False,False,None,None,None,2530.0,27.9
2025-07-16,Wednesday,7,Monsoon,1,Deluxe,3500.0,34.5,15,8,13,37,6.7,23,29.5,18.5,Rain,False,False,None,None,None,3510.0,31.4
2025-05-15,Thursday,5,Summer,1,Suite,8000.0,41.8,13,9,17,42,7.8,28,39.0,0.0,Normal,False,False,None,None,None,7830.0,36.5
2025-09-01,Monday,9,Summer,1,Suite,8000.0,37.3,15,7,14,28,10.5,11,30.0,1.4,Sunny,False,False,None,None,None,7870.0,30.3
2026-03-28,Saturday,3,Shoulder,1,Suite,8000.0,77.5,5,12,23,47,3.6,5,28.0,3.9,Normal,True,False,None,None,None,9350.0,72.4
2026-01-16,Friday,1,Peak Winter,1,Standard,2500.0,90.5,2,18,35,73,4.0,6,22.5,0.0,Sunny,True,False,None,None,None,3270.0,90.8
2026-04-07,Tuesday,4,Summer,1,Premium,5000.0,48.6,12,9,16,36,5.5,12,27.2,2.1,Good,False,False,None,None,None,4990.0,39.2
2025-04-12,Saturday,4,Summer,1,Premium,5000.0,76.8,5,11,20,39,5.8,10,26.3,0.7,Good,True,False,None,IPL Cricket Match (Sawai Mansingh Stadium),Very High,6130.0,69.9
2026-06-25,Thursday,6,Summer,1,Suite,8000.0,46.8,12,6,9,22,7.6,10,42.7,0.0,Normal,False,False,None,None,None,8550.0,31.9
2026-04-14,Tuesday,4,Summer,1,Standard,2500.0,53.8,11,9,21,31,9.8,22,28.0,4.2,Good,False,False,None,IPL Cricket Match (Sawai Mansingh Stadium),Very High,2530.0,41.3
2026-03-03,Tuesday,3,Shoulder,1,Deluxe,3500.0,61.1,9,13,23,53,12.6,12,28.2,3.3,Sunny,False,False,None,None,None,3550.0,53.1
2026-02-01,Sunday,2,Shoulder,1,Premium,5000.0,73.8,6,15,32,57,3.5,4,26.9,3.7,Normal,True,False,None,None,None,5810.0,77.5
2025-06-29,Sunday,6,Summer,1,Suite,8000.0,61.5,9,12,21,47,5.2,3,41.8,0.0,Extreme,True,False,None,None,None,9140.0,66.0
2025-02-12,Wednesday,2,Shoulder,1,Premium,5000.0,62.1,9,10,21,40,12.5,23,31.9,2.6,Normal,False,False,None,None,None,5090.0,46.8
2025-12-06,Saturday,12,Peak Winter,1,Premium,5000.0,88.2,2,16,35,64,13.7,9,22.0,0.0,Good,True,False,None,None,None,6130.0,85.5
2026-05-25,Monday,5,Summer,1,Premium,5000.0,41.8,13,6,13,24,4.1,18,42.8,0.0,Extreme,False,False,None,None,None,4820.0,29.9
2025-10-30,Thursday,10,Shoulder,1,Premium,5000.0,63.4,8,11,26,39,11.0,21,27.4,3.0,Normal,False,False,None,None,None,5860.0,49.6
2026-03-22,Sunday,3,Shoulder,1,Premium,5000.0,71.1,6,15,29,55,4.6,22,31.6,4.9,Sunny,True,False,None,None,None,5790.0,76.4
2026-03-25,Wednesday,3,Shoulder,1,Standard,2500.0,80.8,4,16,29,68,4.7,12,30.2,0.3,Good,False,False,Major,None,None,2950.0,87.5
2026-01-15,Thursday,1,Peak Winter,1,Premium,5000.0,73.6,6,16,33,62,13.6,13,21.6,0.0,Excellent,False,False,None,None,None,5360.0,64.6
2025-07-10,Thursday,7,Monsoon,1,Suite,8000.0,47.8,12,8,17,38,7.9,16,29.9,2.0,Normal,False,False,None,None,None,8870.0,36.7
2025-10-20,Monday,10,Shoulder,1,Suite,8000.0,56.8,10,8,18,37,6.8,14,30.8,0.6,Good,False,False,None,None,None,7960.0,40.3
2025-10-25,Saturday,10,Shoulder,1,Premium,5000.0,98.0,1,15,30,57,5.6,11,31.4,3.6,Good,True,False,Major,None,None,6370.0,100.0
2026-01-05,Monday,1,Peak Winter,1,Premium,5000.0,72.8,6,13,29,58,10.9,8,22.0,0.0,Excellent,False,False,None,None,None,5770.0,57.7
2026-02-24,Tuesday,2,Shoulder,1,Standard,2500.0,63.2,8,14,30,53,12.7,14,29.1,4.9,Good,False,False,None,None,None,2870.0,56.1
2025-07-06,Sunday,7,Monsoon,1,Deluxe,3500.0,54.4,10,8,18,35,12.8,35,32.3,37.7,Heavy Rain,True,False,None,None,None,3910.0,54.4
2025-09-14,Sunday,9,Summer,1,Deluxe,3500.0,56.6,10,8,15,36,13.4,14,26.2,4.8,Sunny,True,False,None,None,None,3530.0,55.2
2025-12-12,Friday,12,Peak Winter,1,Standard,2500.0,98.0,1,19,35,78,12.8,13,14.8,0.0,Good,True,False,None,Royal Destination Wedding Season,High,3210.0,96.0
2025-11-06,Thursday,11,Peak Winter,1,Suite,8000.0,80.7,4,14,32,52,10.6,20,22.0,0.0,Good,False,False,None,None,None,9040.0,63.1
2026-03-02,Monday,3,Shoulder,1,Suite,8000.0,62.6,8,11,25,41,11.4,22,28.9,1.0,Normal,False,False,None,None,None,8800.0,49.2
2025-04-19,Saturday,4,Summer,1,Premium,5000.0,57.6,10,10,23,44,7.6,4,26.1,2.3,Good,True,False,None,None,None,5760.0,60.0
2025-06-13,Friday,6,Summer,1,Premium,5000.0,55.6,10,11,19,40,13.4,28,39.1,0.0,Extreme,True,False,None,None,None,5320.0,61.4
2025-09-04,Thursday,9,Summer,1,Deluxe,3500.0,41.9,13,10,24,39,8.9,15,24.4,1.8,Sunny,False,False,None,None,None,3690.0,38.8
2026-03-18,Wednesday,3,Shoulder,1,Deluxe,3500.0,62.3,9,10,22,43,6.2,17,30.1,3.6,Normal,False,False,None,None,None,3770.0,46.9
2026-04-07,Tuesday,4,Summer,1,Premium,5000.0,45.0,13,9,20,36,9.1,51,25.0,3.4,Sunny,False,False,None,None,None,4940.0,37.8
2025-05-28,Wednesday,5,Summer,1,Deluxe,3500.0,44.1,13,8,20,29,9.7,11,41.0,0.0,Extreme,False,False,None,None,None,3530.0,35.2
2025-12-02,Tuesday,12,Peak Winter,1,Premium,5000.0,78.6,5,14,30,59,12.1,18,17.9,0.0,Good,False,False,None,None,None,5920.0,62.2
2025-11-03,Monday,11,Peak Winter,1,Suite,8000.0,98.0,1,20,37,84,8.2,26,17.7,0.0,Good,False,False,Peak,None,None,10840.0,100.0
2025-08-22,Friday,8,Monsoon,1,Standard,2500.0,61.0,9,11,21,49,5.7,18,30.4,2.0,Normal,True,False,None,None,None,2760.0,63.6
2025-04-23,Wednesday,4,Summer,1,Deluxe,3500.0,39.7,14,9,22,42,11.0,15,27.4,2.2,Good,False,False,None,None,None,3560.0,35.7
2026-06-16,Tuesday,6,Summer,1,Deluxe,3500.0,43.4,13,8,18,29,8.1,14,44.0,0.0,Extreme,False,False,None,None,None,3530.0,35.0
2025-12-29,Monday,12,Peak Winter,1,Premium,5000.0,81.1,4,14,29,62,5.3,11,18.8,0.0,Sunny,False,True,None,New Year Gala Eve,Peak,6130.0,63.2
2025-11-21,Friday,11,Peak Winter,1,Suite,8000.0,91.7,1,16,30,68,10.4,18,19.6,0.0,Excellent,True,False,None,None,None,9780.0,86.9
2026-02-09,Monday,2,Shoulder,1,Premium,5000.0,64.2,8,11,26,42,5.2,14,26.3,1.5,Good,False,False,None,None,None,5560.0,49.9
2025-10-06,Monday,10,Shoulder,1,Deluxe,3500.0,61.4,9,14,28,61,5.6,10,28.7,3.1,Good,False,False,None,None,None,3580.0,55.4
2025-12-05,Friday,12,Peak Winter,1,Suite,8000.0,97.7,1,20,44,82,10.2,5,20.8,0.0,Good,True,False,None,None,None,10540.0,98.1
2025-10-22,Wednesday,10,Shoulder,1,Premium,5000.0,78.5,5,16,29,61,7.6,17,31.3,3.2,Normal,False,False,Major,None,None,6170.0,86.6
2025-02-07,Friday,2,Shoulder,1,Suite,8000.0,78.8,5,16,30,64,6.1,7,30.0,0.9,Normal,True,False,None,None,None,10100.0,81.7
2026-06-21,Sunday,6,Summer,1,Suite,8000.0,54.3,10,7,16,25,11.0,5,43.1,0.0,Normal,True,False,None,None,None,8660.0,52.1
2025-07-10,Thursday,7,Monsoon,1,Standard,2500.0,48.3,12,10,23,41,8.7,9,29.7,2.0,Normal,False,False,None,None,None,2390.0,41.3
2025-04-08,Tuesday,4,Summer,1,Deluxe,3500.0,47.8,12,9,18,38,11.3,7,31.5,2.4,Good,False,False,None,None,None,3850.0,38.9
